"Project ID","2"
"Project","OneApp"
"Exported at","2026-01-30T17:42:57.282Z"

"Case","Description","Folder","Notes","Preconditions","Priority","Steps (Expected)","Steps (Step)","Case ID","Automation","Configurations","Created at","Created by","Estimate","Expected","Forecast","Issues","State","Status (latest)","Status date","Steps (Text)","Tags","Template","Updated at","Updated by"
"Demo Mode - Add Vehicle","","Home","","","Low","<p>1. User should see the vehicle selector screen<br />2. User should see a dismissable alert informing them the feature is not available in demo mode</p>","<p>1. Tap on Vehicle Selector<br />2. Tap the Add Vehicle button</p>","1443","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.143Z","Diego Del Aguila","","","33.167","","Active","Failed","2026-01-28T00:37:16.265Z","","androidautomated-nna,automation-candidate,iosautomated-nna,regression","Case (steps)","2026-01-07T16:30:50.348Z","Arjun"
"Demo Mode - Switch Vehicles","","Home","","","Critical","<p>1. User should see vehicle selector screen<br />2. User should be able to switch between the three vehicles and see images and data update accordingly</p>","<p>1. Tap on Vehicle Selector<br />2. Tap on Select to change vehicles</p>","1436","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.030Z","Diego Del Aguila","","","65.143","","Active","Failed","2026-01-28T00:37:16.265Z","","androidautomated-nna,automation-candidate,general-sweep,iosautomated-nna,regression","Case (steps)","2026-01-13T21:21:56.843Z","Arjun"
"Demo Mode - Lock/Unlock","<p><strong>Applies for all Vehicle types</strong></p>","Telematics","<p>Automation: this has been muted as the Github's runners low performance don't catch the toasts. <strong>Update: Andrew's runner has better performance so this will be unmuted from now on.</strong></p>","<p>User is already in Demo Mode <code>Home Page</code></p>","Sanity","<p>The user should see a Modal with:</p><ul><li>Title: Are you sure?</li><li>Text: This action will remotely <code>Lock / Unlock</code> your vehicle.</li><li><code>No</code> / <code>Yes</code> buttons</li></ul>
<p>The modal is dismissed</p>
<p>The <code>Lock</code> / <code>Unlock</code> process is triggered and the following toasts are displayed every second:</p><ul><li>Contacting <code>year, model</code> to <code>lock / unlock</code>...</li><li>Waking <code>year, model</code> to <code>lock / unlock</code>...</li><li>Initiating <code>Lock/Unlock</code> on <code>year, model</code>...</li><li><code>year, model</code> <code>locked / unlocked</code></li></ul>
<p>Observe correct status is shown</p><figure class=""image image_resized"" style=""width:26.96%;""><img src=""/attachments/view/8959"" alt=""8959"" /></figure><figure class=""image image_resized"" style=""width:26.28%;""><img src=""/attachments/view/8961"" alt=""8961"" /></figure>","<p>Tap the <code>Lock</code> or <code>Unlock</code> button</p>
<p>Tap on <code>No</code></p>
<p>Tap the <code>Lock</code> or <code>Unlock</code> button again and tap <code>Yes</code> on the modal</p>
<p>go to hero status / Control card / Vehicle screen</p>","542","Yes","Android, Prod,Prod, iOS","2023-08-01T23:08:19.522Z","Diego Del Aguila","","","109.167","","Active","Failed","2026-01-28T00:37:16.265Z","","androidautomated-nna,automation-candidate,general-sweep,iosautomated-nna,regression,smoke","Case (steps)","2025-12-17T02:14:20.490Z","Gemma Diaz Santa Cruz"
"Demo Mode - Lights/Horn","","Telematics","<p>Automation: this has been muted as the Github's runners low performance don't catch the toasts. <strong>Update: Andrew's runner has better performance so this will be unmuted from now on.</strong></p>","","Medium","<p>The Lights activate process triggered and the following toasts are displayed every second:</p><ul><li>Contacting <code>year, model</code> to activate lights...</li><li>Waking <code>year, model</code> to activate lights...</li><li>Initiating lights on <code>year, model</code>...</li><li>Lights activated on <code>year, model</code>...</li></ul>
<p>The Horn activate process triggered and the following toasts are displayed:</p><ul><li>Contacting <code>year, model</code> to activate horn...</li><li>Waking <code>year, model</code> to activate horn...</li><li>Initiating horn on <code>year, model</code>...</li><li>Horn activated on <code>year, model</code>...</li></ul>","<p>Tap the Lights  CTA</p>
<p>Tap the Horn  CTA</p>","1437","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.046Z","Diego Del Aguila","","","76.8","","Active","Passed","2025-07-17T07:57:31.646Z","","androidautomated-nna,automation-candidate,iosautomated-nna,regression","Case (steps)","2025-12-18T17:00:17.338Z","Mariia Tupchii"
"Demo Mode - Engine Start - AVKs","","Telematics","<p>Automation: engine countdown timer can't be validated as elements in Hero can't be retrieved.</p><p>Automation: this has been muted as the Github's runners low performance don't catch the toasts. <strong>Update: Andrew's runner has better performance so this will be unmuted from now on.</strong></p>","<p>For AVK and AVK2</p>","Medium","<p><code>Are you sure?</code> popup appears with <code>Yes </code>and <code>No</code> CTAs</p>
<p>The popup dismisses.</p>
<p>1. The Engine Start process triggered and the following toasts are displayed every second:</p><ul><li>Contacting <code>year, model</code> to start engine...</li><li>Waking <code>year, model</code> to start engine...</li><li>Initiating engine start on <code>year, model</code>...</li><li><code>year, model</code> engine started.</li></ul><p>2.'Engine Start' button becomes to 'Engine Start' with 'STOP' text</p><p>3.Engine timer should be 10 mins</p>
<p>1. The Engine Start process triggered and the following toasts are displayed:</p><ul><li>Contacting <code>year, model</code> to start engine...</li><li>Waking <code>year, model</code> to start engine...</li><li>Initiating engine start on <code>year, model</code>...</li><li>Remote engine and climate was started for <code>year, model</code></li></ul><p>2.'Engine Start' button becomes to 'Engine Start' with 'STOP' text</p><p>3. Engine timer should be 20 mins</p>","<p>Tap the Engine Start button</p>
<p>Tap on <code>No</code> CTA</p>
<p>Tap on <code>Yes</code> CTA</p>
<p>Tap on <code>Yes</code> CTA - AVK2</p>","1438","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.062Z","Diego Del Aguila","","","87.333","","Active","Failed","2026-01-28T00:37:16.265Z","","androidautomated-nna,automation-candidate,iosautomated-nna,regression","Case (steps)","2025-12-18T17:00:24.642Z","Mariia Tupchii"
"Demo Mode - Engine Stop - AVKs","","Telematics","<p>Automation: this has been muted as the Github's runners low performance don't catch the toasts. <strong>Update: Andrew's runner has better performance so this will be unmuted from now on.</strong></p>","<p>For AVK and AVK2</p>","Medium","<p><code>Are you sure?</code> popup appears with <code>Yes </code>and <code>No</code> CTAs</p>
<p>The popup dismisses.</p>
<p>The Engine Stop process triggered and the following toasts are displayed every second:</p><ul><li>Contacting <code>year, model</code> to stop engine...</li><li>Initiating engine stop on <code>year, model</code>...</li><li><code>year, model</code> engine stopped</li></ul>
<p>The Engine Stop process triggered and the following toasts are displayed  every second:</p><ul><li>Contacting <code>year, model</code> to stop engine...</li><li>Initiating engine stop on <code>year, model</code>...</li><li>Climate off, engine stopped for your <code>year, model</code></li></ul>","<p>Tap the Engine STOP button</p>
<p>Tap on <code>No</code> CTA</p>
<p>Tap on <code>Yes</code> CTA</p>
<p>Tap on <code>Yes</code> CTA - AVK2</p>","1439","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.077Z","Diego Del Aguila","","","99.5","","Active","Passed","2025-07-17T07:57:31.646Z","","androidautomated-nna,automation-candidate,iosautomated-nna,regression","Case (steps)","2025-12-18T17:00:31.880Z","Mariia Tupchii"
"Demo Mode - Climate On - EV2","","Telematics","<p>Automation: this has been muted as the Github's runners low performance don't catch the toasts. <strong>Update: Andrew's runner has better performance so this will be unmuted from now on.</strong></p>","<p>User has EV2 selected</p>","Low","<p>The Climate On process triggered and the following toasts are displayed every second:</p><ul><li>Contacting <code>year, model</code> to turn on climate...</li><li>Waking <code>year, model</code> to turn on climate...</li><li>Initiating climate on for <code>year, model</code>...</li><li><code>year, model</code> climate turned on</li></ul>
<p>Observe Climate icon is displayed</p><figure class=""image image_resized"" style=""width:23.59%;""><img src=""/attachments/view/8963"" alt=""8963"" /></figure>
<p>Verify:</p><ul><li>Card title: <code>Climate On</code></li><li>Subtitle: <code>Setting to 75 F</code></li></ul>","<p>Tap the 'Climate On' CTA</p>
<p>Go to Hero image</p>
<p>Scroll to the Climate card</p>","1440","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.093Z","Diego Del Aguila","","","61.333","","Active","Passed","2025-07-17T07:57:31.646Z","","androidautomated-nna,automation-candidate,ev,iosautomated-nna,regression","Case (steps)","2025-12-18T17:00:41.465Z","Mariia Tupchii"
"Demo Mode - Charge On - EV2","","Telematics","<p>Automation: this has been muted as the Github's runners low performance don't catch the toasts. <strong>Update: Andrew's runner has better performance so this will be unmuted from now on.</strong></p>","<p>User has EV2 selected</p>","Low","<p>The Charge On process triggered and the following toasts are displayed every second:</p><ul><li>Contacting <code>year, model</code> to begin charge...</li><li>Waking <code>year, model</code> to begin charge...</li><li>Initiating charging on <code>year, model</code>...</li><li><code>year, model</code> charging</li></ul>","<p>Tap the 'Charge On' CTA</p>","1441","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.111Z","Diego Del Aguila","","","102","","Active","Passed","2025-07-17T07:57:31.646Z","","androidautomated-nna,automation-candidate,ev,iosautomated-nna,regression","Case (steps)","2025-12-18T17:00:49.564Z","Mariia Tupchii"
"Demo Mode - Controls","<p>Verify the controls card</p>","Controls","","<p>User is in demo mode on the homescreen</p>","Low","<p>User should see timestamp and lock status for the secondary text on the Controls card<br /><br /> </p>
<p>User should see 'Controls' screen with 'Favorites' and 'More Controls' sections</p>
<p>User should see the 'Demo Mode' alert modal</p>","<p>Check the 'Controls' card</p>
<p>Tap the 'Controls' card</p>
<p>Tap on 'Edit Controls' CTA</p>","1444","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.159Z","Diego Del Aguila","","","69.167","","Active","Automated","2026-01-07T16:38:28.317Z","","androidautomated-nna,automation-candidate,iosautomated-nna,regression","Case (steps)","2025-12-18T17:00:59.575Z","Mariia Tupchii"
"Demo Mode - Charge","","Charge","","<p>User has the LEAF selected</p><p>V2L is enabled in firebase configs</p><p>Charge History is enabled in firebase configs</p>","Low","<p>User should see the <code>Charge</code> screen</p><ul><li>Charge Status card<ul><li><strong>Refresh</strong> icon</li><li><code>Manage EV</code> cta</li></ul></li><li>NISSAN ENERGY Charge Network card<ul><li><code>Find In-Netwrok Chargers</code> CTA</li></ul></li><li>Plug &amp; Charge card with a toggle enabled by default<ul><li>The user can interact with the toggle.</li></ul></li></ul>
<p>User should see <strong>Manage EV</strong> screen:</p><ul><li>NISSAN ENERGY Charge Network card<ul><li>Subtitle: Active</li></ul></li><li>Charge Limit card<ul><li>Subtitle: 80%</li></ul></li><li>Vehicle-to-Load card<ul><li>Subtitle: All On - 30%</li></ul></li><li>Charge History card</li><li>Schedule card<ul><li>2 charge scheduled</li><li>Add Option</li></ul></li><li><code>START CHARGING</code> cta</li></ul>
<p>User should see a dismissible alert informing them the feature is not available in demo mode</p>
<p>User should see the charge schedule details screen</p>
<p>User is able to change details for the charge schedule</p>
<p>User should see a dismissable alert informing them the feature is not available in demo mode</p>
<p>User should see charge schedule toggle on/off</p><p>The Charge schedule process is triggered and the following toasts are displayed:</p><ul><li>Contacting &lt;year and model&gt; to toggle charge schedule...</li><li>Waking &lt;year and model&gt; to toggle charge schedule...</li><li>Initiating toggle charge schedule on &lt;year and model&gt;...</li><li>Charge schedule toggled</li></ul>
<p>User should see a dismissible alert informing them that the feature is not available in demo mode</p>
<p>User is led to NECN screen</p><ul><li>Account Status card<ul><li><code>Deactivate Account</code> cta</li></ul></li><li>Plug &amp; Charge card with a toggle enabled by default<ul><li>The user can interact with the toggle.</li></ul></li><li>Payment Method card<ul><li>Credit card demo info</li><li><code>Change Payment Method</code> cta</li></ul></li><li>CALL OUR HELP LINE</li></ul>
<p>User should see a dismissible alert informing them that the feature is not available in demo mode</p>
<p>User is led to <code>Manage EV</code> screen</p>
<p>User is led to <strong>Charge Limit</strong> screen</p><ul><li>Charge Limit card<ul><li><strong>Charge Limit</strong> <strong>Setting</strong> field with 80% set by default</li><li><code>Set Charge Limit</code> CTA is disabled by default</li></ul></li><li>Charge Notification card<ul><li><strong>Notify at</strong> field with 20% set by default</li><li><code>Set Notification</code> CTA is disabled by default</li></ul></li><li><strong>MANAGE NOTIFICATIONS</strong> option</li></ul>
<p><code>Set Charge Limit</code> CTA will become enabled, tapping on it will display the following toasts:</p><ul><li>Setting Charge limit</li><li>Charge Limit set</li></ul>
<p><code>Set Notification</code> CTA will become enabled, tapping on it will display a loading state icon and toast:</p><ul><li>Notification set</li></ul>
<p>User is led to the <strong>Notification Preferences</strong> screen</p>
<p>User is led to <code>Charge Limit</code> screen</p>
<p>User is taken to the V2L screen:</p><ul><li>Vehicle-to-Load Remote Services  card (All On status)<ul><li><strong>Minimum Charge</strong> dropdown</li><li>30% set by default</li><li><code>Set Minimum Charge</code> CTA is disabled by default</li></ul></li><li><strong>MANAGE NOTIFICATIONS</strong> option</li></ul>
<p><code>Set Minimum Charge</code> CTA will become enabled, tapping on it will trigger the following toasts:</p><ul><li>Contacting &lt;year and model&gt;...</li><li>Waking &lt;year and model&gt;...</li><li>Initiating Vehicle-to-Load limit...</li><li>Vehicle-to-Load limit set</li></ul>
<p>User is led to the <strong>Notification Preferences</strong> screen</p>
<p>User is led to <strong>V2L</strong> screen</p>
<p>User should see a dismissible alert informing them that the feature is not available in demo mode</p>
<p>User is redirected to the Map screen</p><p>Charge Stations are shown in the Search filed, charge stations cards are shown at the bottom of the screen</p>
<p>The loading state with the charge icon is displayed</p>","<p>Tap the 'Charge' card</p>
<p>Tap on <code>MANAGE EV</code> CTA</p>
<p>Tap on <code>START CHARGING</code></p>
<p>Tap on any Charge Schedule</p>
<p>Change details for the charge schedule</p>
<p>Tap Save/Delete Schedule</p>
<p>Tap to toggle charge schedule</p>
<p>Tap on the <strong>Add</strong> option</p>
<p>Tap on <code>NECN</code> card</p>
<p>Tap on any element except PnC toggle</p>
<p>Tap on back arrow </p>
<p>Tap on <code>Charge Limit</code> card</p>
<p>Select any value different from default on <strong>Charge Limit</strong> <strong>Setting</strong> field</p>
<p>Select any value different from default on <strong>Notify at</strong> field</p>
<p>Tap on <strong>MANAGE NOTIFICATIONS</strong> option</p>
<p>Tap on back arrow </p>
<p>On Manage EV screen, tap on Vehicle-to-Load (V2L) card</p>
<p>Select any value different from default on <strong>Minimum Charge</strong> dropdown</p>
<p>Tap on <strong>MANAGE NOTIFICATIONS</strong> option</p>
<p>Tap on back arrow </p>
<p>On Manage EV screen, tap on Charge History card</p>
<p>On Manage EV screen tap 'Find In-network Chargers' CTA </p>
<p>On the Manage EV screen tap the 'Refresh' button</p>","1445","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.177Z","Diego Del Aguila","","","154","","Active","Automated","2026-01-07T16:38:36.505Z","","androidautomated-nna,automation-candidate,ev,iosautomated-nna","Case (steps)","2025-12-18T17:01:08.517Z","Mariia Tupchii"
